"","Direccion","Separacion","n","nYes","nNo","p","condicion","observadores","grupo"
"570","135",8,12,7,5,0.583333333333333,"pos","lrc","cl"
"571","135",11,16,6,10,0.375,"pos","lrc","cl"
"572","135",14,10,1,9,0.1,"pos","lrc","cl"
"573","135",17,11,6,5,0.545454545454545,"pos","lrc","cl"
"574","135",20,10,3,7,0.3,"pos","lrc","cl"
"575","45",3,13,7,6,0.538461538461538,"pos","lrc","cl"
"576","45",5,15,9,6,0.6,"pos","lrc","cl"
"577","45",8,14,8,6,0.571428571428571,"pos","lrc","cl"
"578","45",11,8,5,3,0.625,"pos","lrc","cl"
"579","45",14,14,6,8,0.428571428571429,"pos","lrc","cl"
"580","45",17,11,1,10,0.0909090909090909,"pos","lrc","cl"
"581","45",20,7,1,6,0.142857142857143,"pos","lrc","cl"
"582","90",3,12,11,1,0.916666666666667,"pos","lrc","cl"
"583","90",5,14,11,3,0.785714285714286,"pos","lrc","cl"
"584","90",8,9,2,7,0.222222222222222,"pos","lrc","cl"
"585","90",11,15,7,8,0.466666666666667,"pos","lrc","cl"
"586","90",14,9,3,6,0.333333333333333,"pos","lrc","cl"
"587","90",17,11,3,8,0.272727272727273,"pos","lrc","cl"
"588","90",20,12,0,12,0,"pos","lrc","cl"
"589","0",3,9,5,4,0.555555555555556,"pos","mab","lt"
"590","0",5,7,5,2,0.714285714285714,"pos","mab","lt"
"591","0",8,13,13,0,1,"pos","mab","lt"
"592","0",11,9,5,4,0.555555555555556,"pos","mab","lt"
"593","0",14,15,6,9,0.4,"pos","mab","lt"
"594","0",17,14,2,12,0.142857142857143,"pos","mab","lt"
"595","0",20,16,6,10,0.375,"pos","mab","lt"
"596","135",3,14,11,3,0.785714285714286,"pos","mab","lt"
"597","135",5,11,10,1,0.909090909090909,"pos","mab","lt"
"598","135",8,12,8,4,0.666666666666667,"pos","mab","lt"
"599","135",11,16,10,6,0.625,"pos","mab","lt"
"600","135",14,9,6,3,0.666666666666667,"pos","mab","lt"
"601","135",17,11,2,9,0.181818181818182,"pos","mab","lt"
"602","135",20,10,5,5,0.5,"pos","mab","lt"
"603","45",3,13,11,2,0.846153846153846,"pos","mab","lt"
"604","45",5,16,11,5,0.6875,"pos","mab","lt"
"605","45",8,14,13,1,0.928571428571429,"pos","mab","lt"
"606","45",11,8,7,1,0.875,"pos","mab","lt"
"607","45",14,14,7,7,0.5,"pos","mab","lt"
"608","45",17,12,8,4,0.666666666666667,"pos","mab","lt"
"609","45",20,7,2,5,0.285714285714286,"pos","mab","lt"
"610","90",3,11,10,1,0.909090909090909,"pos","mab","lt"
"611","90",5,13,11,2,0.846153846153846,"pos","mab","lt"
"612","90",8,9,7,2,0.777777777777778,"pos","mab","lt"
"613","90",11,15,14,1,0.933333333333333,"pos","mab","lt"
"614","90",14,9,4,5,0.444444444444444,"pos","mab","lt"
"615","90",17,11,6,5,0.545454545454545,"pos","mab","lt"
"616","90",20,13,4,9,0.307692307692308,"pos","mab","lt"
"617","0",3,8,6,2,0.75,"pos","mdn","lt"
"618","0",5,7,4,3,0.571428571428571,"pos","mdn","lt"
"619","0",8,13,9,4,0.692307692307692,"pos","mdn","lt"
"620","0",11,9,3,6,0.333333333333333,"pos","mdn","lt"
"621","0",14,14,5,9,0.357142857142857,"pos","mdn","lt"
"622","0",17,13,3,10,0.230769230769231,"pos","mdn","lt"
"623","0",20,16,1,15,0.0625,"pos","mdn","lt"
"624","135",3,14,10,4,0.714285714285714,"pos","mdn","lt"
"625","135",5,11,9,2,0.818181818181818,"pos","mdn","lt"
"626","135",8,12,7,5,0.583333333333333,"pos","mdn","lt"
"627","135",11,15,9,6,0.6,"pos","mdn","lt"
"628","135",14,10,2,8,0.2,"pos","mdn","lt"
"629","135",17,11,1,10,0.0909090909090909,"pos","mdn","lt"
"630","135",20,10,3,7,0.3,"pos","mdn","lt"
"631","45",3,13,12,1,0.923076923076923,"pos","mdn","lt"
"632","45",5,15,6,9,0.4,"pos","mdn","lt"
"633","45",8,14,7,7,0.5,"pos","mdn","lt"
"634","45",11,8,4,4,0.5,"pos","mdn","lt"
"635","45",14,14,6,8,0.428571428571429,"pos","mdn","lt"
"636","45",17,12,3,9,0.25,"pos","mdn","lt"
"637","45",20,7,1,6,0.142857142857143,"pos","mdn","lt"
"638","90",3,12,5,7,0.416666666666667,"pos","mdn","lt"
"639","90",5,14,10,4,0.714285714285714,"pos","mdn","lt"
"640","90",8,9,3,6,0.333333333333333,"pos","mdn","lt"
"641","90",11,14,6,8,0.428571428571429,"pos","mdn","lt"
"642","90",14,9,2,7,0.222222222222222,"pos","mdn","lt"
"643","90",17,10,2,8,0.2,"pos","mdn","lt"
"644","90",20,13,1,12,0.0769230769230769,"pos","mdn","lt"
"645","0",3,9,9,0,1,"pos","msz","rt"
"646","0",5,7,4,3,0.571428571428571,"pos","msz","rt"
"647","0",8,13,7,6,0.538461538461538,"pos","msz","rt"
"648","0",11,9,2,7,0.222222222222222,"pos","msz","rt"
"649","0",14,15,3,12,0.2,"pos","msz","rt"
"650","0",17,14,1,13,0.0714285714285714,"pos","msz","rt"
"651","0",20,17,3,14,0.176470588235294,"pos","msz","rt"
"652","135",3,14,13,1,0.928571428571429,"pos","msz","rt"
"653","135",5,11,5,6,0.454545454545455,"pos","msz","rt"
"654","135",8,12,4,8,0.333333333333333,"pos","msz","rt"
"655","135",11,16,6,10,0.375,"pos","msz","rt"
"656","135",14,10,1,9,0.1,"pos","msz","rt"
"657","135",17,11,1,10,0.0909090909090909,"pos","msz","rt"
"658","135",20,10,2,8,0.2,"pos","msz","rt"
"659","45",3,13,13,0,1,"pos","msz","rt"
"660","45",5,16,10,6,0.625,"pos","msz","rt"
"661","45",8,14,5,9,0.357142857142857,"pos","msz","rt"
"662","45",11,8,2,6,0.25,"pos","msz","rt"
"663","45",14,12,2,10,0.166666666666667,"pos","msz","rt"
"664","45",17,12,2,10,0.166666666666667,"pos","msz","rt"
"665","45",20,7,0,7,0,"pos","msz","rt"
"666","90",3,12,11,1,0.916666666666667,"pos","msz","rt"
"667","90",5,14,10,4,0.714285714285714,"pos","msz","rt"
"668","90",8,9,4,5,0.444444444444444,"pos","msz","rt"
"669","90",11,15,6,9,0.4,"pos","msz","rt"
"670","90",14,9,2,7,0.222222222222222,"pos","msz","rt"
"671","90",17,11,1,10,0.0909090909090909,"pos","msz","rt"
"672","90",20,13,3,10,0.230769230769231,"pos","msz","rt"
"673","0",3,8,7,1,0.875,"pos","nga","rt"
"674","0",5,7,4,3,0.571428571428571,"pos","nga","rt"
"675","0",8,12,8,4,0.666666666666667,"pos","nga","rt"
"676","0",11,8,2,6,0.25,"pos","nga","rt"
"677","0",14,15,4,11,0.266666666666667,"pos","nga","rt"
"678","0",17,13,3,10,0.230769230769231,"pos","nga","rt"
"679","0",20,17,4,13,0.235294117647059,"pos","nga","rt"
"680","135",3,13,9,4,0.692307692307692,"pos","nga","rt"
"681","135",5,11,5,6,0.454545454545455,"pos","nga","rt"
"682","135",8,11,5,6,0.454545454545455,"pos","nga","rt"
"683","135",11,16,7,9,0.4375,"pos","nga","rt"
"684","135",14,10,4,6,0.4,"pos","nga","rt"
"685","135",17,11,0,11,0,"pos","nga","rt"
"686","135",20,10,3,7,0.3,"pos","nga","rt"
"687","45",3,13,9,4,0.692307692307692,"pos","nga","rt"
"688","45",5,16,8,8,0.5,"pos","nga","rt"
"689","45",8,13,8,5,0.615384615384615,"pos","nga","rt"
"690","45",11,7,3,4,0.428571428571429,"pos","nga","rt"
"691","45",14,14,4,10,0.285714285714286,"pos","nga","rt"
"692","45",17,11,2,9,0.181818181818182,"pos","nga","rt"
"693","45",20,7,2,5,0.285714285714286,"pos","nga","rt"
"694","90",3,11,8,3,0.727272727272727,"pos","nga","rt"
"695","90",5,14,8,6,0.571428571428571,"pos","nga","rt"
"696","90",8,6,1,5,0.166666666666667,"pos","nga","rt"
"697","90",11,13,4,9,0.307692307692308,"pos","nga","rt"
"698","90",14,9,5,4,0.555555555555556,"pos","nga","rt"
"699","90",17,11,3,8,0.272727272727273,"pos","nga","rt"
"700","90",20,13,7,6,0.538461538461538,"pos","nga","rt"
"701","0",3,9,7,2,0.777777777777778,"pos","pab","cl"
"702","0",5,6,6,0,1,"pos","pab","cl"
"703","0",8,13,11,2,0.846153846153846,"pos","pab","cl"
"704","0",11,8,6,2,0.75,"pos","pab","cl"
"705","0",14,15,10,5,0.666666666666667,"pos","pab","cl"
"706","0",17,14,6,8,0.428571428571429,"pos","pab","cl"
"707","0",20,17,8,9,0.470588235294118,"pos","pab","cl"
"708","135",3,14,13,1,0.928571428571429,"pos","pab","cl"
"709","135",5,11,11,0,1,"pos","pab","cl"
"710","135",8,10,10,0,1,"pos","pab","cl"
"711","135",11,16,10,6,0.625,"pos","pab","cl"
"712","135",14,10,3,7,0.3,"pos","pab","cl"
"713","135",17,11,1,10,0.0909090909090909,"pos","pab","cl"
"714","135",20,10,1,9,0.1,"pos","pab","cl"
"715","45",3,12,11,1,0.916666666666667,"pos","pab","cl"
"716","45",5,16,15,1,0.9375,"pos","pab","cl"
"717","45",8,14,11,3,0.785714285714286,"pos","pab","cl"
"718","45",11,7,7,0,1,"pos","pab","cl"
"719","45",14,14,6,8,0.428571428571429,"pos","pab","cl"
"720","45",17,12,5,7,0.416666666666667,"pos","pab","cl"
"721","45",20,7,3,4,0.428571428571429,"pos","pab","cl"
"722","90",3,11,9,2,0.818181818181818,"pos","pab","cl"
"723","90",5,13,13,0,1,"pos","pab","cl"
"724","90",8,9,8,1,0.888888888888889,"pos","pab","cl"
"725","90",11,15,6,9,0.4,"pos","pab","cl"
"726","90",14,9,5,4,0.555555555555556,"pos","pab","cl"
"727","90",17,11,5,6,0.454545454545455,"pos","pab","cl"
"728","90",20,13,4,9,0.307692307692308,"pos","pab","cl"
"729","0",3,12,12,0,1,"pos","at-","hk"
"730","0",5,11,9,2,0.818181818181818,"pos","at-","hk"
"731","0",8,12,12,0,1,"pos","at-","hk"
"732","0",11,11,9,2,0.818181818181818,"pos","at-","hk"
"733","0",14,12,5,7,0.416666666666667,"pos","at-","hk"
"734","0",17,11,8,3,0.727272727272727,"pos","at-","hk"
"735","0",20,12,5,7,0.416666666666667,"pos","at-","hk"
"736","45",3,12,12,0,1,"pos","at-","hk"
"737","45",5,12,9,3,0.75,"pos","at-","hk"
"738","45",8,12,8,4,0.666666666666667,"pos","at-","hk"
"739","45",11,11,10,1,0.909090909090909,"pos","at-","hk"
"740","45",14,12,5,7,0.416666666666667,"pos","at-","hk"
"741","45",17,12,5,7,0.416666666666667,"pos","at-","hk"
"742","45",20,12,4,8,0.333333333333333,"pos","at-","hk"
"743","90",3,12,10,2,0.833333333333333,"pos","at-","hk"
"744","90",5,11,10,1,0.909090909090909,"pos","at-","hk"
"745","90",8,12,10,2,0.833333333333333,"pos","at-","hk"
"746","90",11,12,8,4,0.666666666666667,"pos","at-","hk"
"747","90",14,12,9,3,0.75,"pos","at-","hk"
"748","90",17,12,7,5,0.583333333333333,"pos","at-","hk"
"749","90",20,12,4,8,0.333333333333333,"pos","at-","hk"
"750","135",3,12,11,1,0.916666666666667,"pos","at-","hk"
"751","135",5,12,9,3,0.75,"pos","at-","hk"
"752","135",8,12,9,3,0.75,"pos","at-","hk"
"753","135",11,12,6,6,0.5,"pos","at-","hk"
"754","135",14,12,7,5,0.583333333333333,"pos","at-","hk"
"755","135",17,12,7,5,0.583333333333333,"pos","at-","hk"
"756","135",20,12,5,7,0.416666666666667,"pos","at-","hk"
"757","0",3,12,11,1,0.916666666666667,"pos","lfa","hk"
"758","0",5,12,11,1,0.916666666666667,"pos","lfa","hk"
"759","0",8,12,10,2,0.833333333333333,"pos","lfa","hk"
"760","0",11,12,8,4,0.666666666666667,"pos","lfa","hk"
"761","0",14,12,6,6,0.5,"pos","lfa","hk"
"762","0",17,11,4,7,0.363636363636364,"pos","lfa","hk"
"763","0",20,11,4,7,0.363636363636364,"pos","lfa","hk"
"764","45",3,12,10,2,0.833333333333333,"pos","lfa","hk"
"765","45",5,12,7,5,0.583333333333333,"pos","lfa","hk"
"766","45",8,12,7,5,0.583333333333333,"pos","lfa","hk"
"767","45",11,11,7,4,0.636363636363636,"pos","lfa","hk"
"768","45",14,12,3,9,0.25,"pos","lfa","hk"
"769","45",17,12,2,10,0.166666666666667,"pos","lfa","hk"
"770","45",20,12,5,7,0.416666666666667,"pos","lfa","hk"
"771","90",3,12,9,3,0.75,"pos","lfa","hk"
"772","90",5,12,9,3,0.75,"pos","lfa","hk"
"773","90",8,12,9,3,0.75,"pos","lfa","hk"
"774","90",11,11,6,5,0.545454545454545,"pos","lfa","hk"
"775","90",14,12,4,8,0.333333333333333,"pos","lfa","hk"
"776","90",17,12,3,9,0.25,"pos","lfa","hk"
"777","90",20,12,3,9,0.25,"pos","lfa","hk"
"778","135",3,12,12,0,1,"pos","lfa","hk"
"779","135",5,12,7,5,0.583333333333333,"pos","lfa","hk"
"780","135",8,12,7,5,0.583333333333333,"pos","lfa","hk"
"781","135",11,12,8,4,0.666666666666667,"pos","lfa","hk"
"782","135",14,12,3,9,0.25,"pos","lfa","hk"
"783","135",17,12,5,7,0.416666666666667,"pos","lfa","hk"
"784","135",20,12,3,9,0.25,"pos","lfa","hk"
"785","0",3,10,8,2,0.8,"pos","lms","hk"
"786","0",5,12,9,3,0.75,"pos","lms","hk"
"787","0",8,11,9,2,0.818181818181818,"pos","lms","hk"
"788","0",11,12,8,4,0.666666666666667,"pos","lms","hk"
"789","0",14,11,3,8,0.272727272727273,"pos","lms","hk"
"790","0",17,11,4,7,0.363636363636364,"pos","lms","hk"
"791","0",20,10,4,6,0.4,"pos","lms","hk"
"792","45",3,10,9,1,0.9,"pos","lms","hk"
"793","45",5,11,8,3,0.727272727272727,"pos","lms","hk"
"794","45",8,11,6,5,0.545454545454545,"pos","lms","hk"
"795","45",11,10,6,4,0.6,"pos","lms","hk"
"796","45",14,12,2,10,0.166666666666667,"pos","lms","hk"
"797","45",17,12,4,8,0.333333333333333,"pos","lms","hk"
"798","45",20,12,4,8,0.333333333333333,"pos","lms","hk"
"799","90",3,10,7,3,0.7,"pos","lms","hk"
"800","90",5,11,10,1,0.909090909090909,"pos","lms","hk"
"801","90",8,10,7,3,0.7,"pos","lms","hk"
"802","90",11,11,9,2,0.818181818181818,"pos","lms","hk"
"803","90",14,12,5,7,0.416666666666667,"pos","lms","hk"
"804","90",17,9,4,5,0.444444444444444,"pos","lms","hk"
"805","90",20,12,3,9,0.25,"pos","lms","hk"
"806","135",3,11,7,4,0.636363636363636,"pos","lms","hk"
"807","135",5,9,6,3,0.666666666666667,"pos","lms","hk"
"808","135",8,11,6,5,0.545454545454545,"pos","lms","hk"
"809","135",11,11,3,8,0.272727272727273,"pos","lms","hk"
"810","135",14,12,5,7,0.416666666666667,"pos","lms","hk"
"811","135",17,11,5,6,0.454545454545455,"pos","lms","hk"
"812","135",20,11,2,9,0.181818181818182,"pos","lms","hk"
"813","0",3,12,12,0,1,"pos","mcm","hk"
"814","0",5,12,9,3,0.75,"pos","mcm","hk"
"815","0",8,12,8,4,0.666666666666667,"pos","mcm","hk"
"816","0",11,11,4,7,0.363636363636364,"pos","mcm","hk"
"817","0",14,12,5,7,0.416666666666667,"pos","mcm","hk"
"818","0",17,12,6,6,0.5,"pos","mcm","hk"
"819","0",20,12,0,12,0,"pos","mcm","hk"
"820","45",3,12,9,3,0.75,"pos","mcm","hk"
"821","45",5,12,8,4,0.666666666666667,"pos","mcm","hk"
"822","45",8,12,6,6,0.5,"pos","mcm","hk"
"823","45",11,11,7,4,0.636363636363636,"pos","mcm","hk"
"824","45",14,12,4,8,0.333333333333333,"pos","mcm","hk"
"825","45",17,12,2,10,0.166666666666667,"pos","mcm","hk"
"826","45",20,12,5,7,0.416666666666667,"pos","mcm","hk"
"827","90",3,12,8,4,0.666666666666667,"pos","mcm","hk"
"828","90",5,12,9,3,0.75,"pos","mcm","hk"
"829","90",8,12,6,6,0.5,"pos","mcm","hk"
"830","90",11,12,6,6,0.5,"pos","mcm","hk"
"831","90",14,12,4,8,0.333333333333333,"pos","mcm","hk"
"832","90",17,12,5,7,0.416666666666667,"pos","mcm","hk"
"833","90",20,12,6,6,0.5,"pos","mcm","hk"
"834","135",3,12,8,4,0.666666666666667,"pos","mcm","hk"
"835","135",5,12,10,2,0.833333333333333,"pos","mcm","hk"
"836","135",8,12,5,7,0.416666666666667,"pos","mcm","hk"
"837","135",11,12,7,5,0.583333333333333,"pos","mcm","hk"
"838","135",14,12,5,7,0.416666666666667,"pos","mcm","hk"
"839","135",17,12,4,8,0.333333333333333,"pos","mcm","hk"
"840","135",20,12,2,10,0.166666666666667,"pos","mcm","hk"
