"","Observador","Sesion","Media"
"1","lfa",1,99
"2","lfa",2,98
"3","lfa",3,97.5
"4","lfa",4,97
"5","lfa",5,99
"6","lfa",6,98
"7","lms",1,97.5
"8","lms",2,98.5
"9","lms",3,99
"10","lms",4,96
"11","lms",5,97.5
"12","lms",6,98.5
"13","mcm",1,98.5
"14","mcm",2,96.5
"15","mcm",3,98.5
"16","mcm",4,94
"17","mcm",5,98
"18","mcm",6,97.5
