"","Cantidad_TGC_1","Cantidad_TGC_2","Respuesta_A","Respuesta_B","Direccion","Separacion","correctas_A","correctas_B","correctas"
"9334","0","3","0","3","0",3,1,1,1
"9335","1","1","1","2","45",3,1,0,0
"9336","2","1","2","1","45",20,1,1,1
"9337","0","1","0","1","135",11,1,1,1
"9338","0","1","1","1","45",11,0,1,0
"9339","0","1","0","2","45",8,1,0,0
"9340","2","2","2","1","45",17,1,0,0
"9341","1","2","1","1","45",5,1,0,0
"9342","1","0","1","2","135",11,1,0,0
"9343","1","1","1","1","90",11,1,1,1
"9344","1","1","1","2","45",17,1,0,0
"9345","2","0","2","0","135",8,1,1,1
"9346","0","2","1","2","0",14,0,1,0
"9347","2","1","2","1","0",3,1,1,1
"9348","2","3","2","3","0",5,1,1,1
"9349","2","0","2","1","90",17,1,0,0
"9350","0","2","0","2","45",11,1,1,1
"9351","1","1","1","1","0",5,1,1,1
"9352","1","0","1","0","0",11,1,1,1
"9353","2","1","2","1","90",11,1,1,1
"9354","0","0","0","0","0",3,1,1,1
"9355","1","1","1","0","135",14,1,0,0
"9356","2","1","2","0","90",20,1,0,0
"9357","0","1","0","1","90",14,1,1,1
"9358","0","1","0","1","135",5,1,1,1
"9359","0","2","0","2","135",8,1,1,1
"9360","0","2","0","1","45",11,1,0,0
"9361","0","1","0","3","45",8,1,0,0
"9362","1","1","1","2","135",17,1,0,0
"9363","1","1","1","1","45",20,1,1,1
"9364","1","0","1","0","45",11,1,1,1
"9365","3","0","3","1","135",20,1,0,0
"9366","0","1","0","2","45",17,1,0,0
"9367","0","0","0","0","45",5,1,1,1
"9368","0","2","1","2","45",8,0,1,0
"9369","1","0","1","0","90",17,1,1,1
"9370","1","0","1","0","0",3,1,1,1
"9371","0","2","0","2","45",8,1,1,1
"9372","2","0","2","0","135",17,1,1,1
"9373","2","0","2","0","45",8,1,1,1
"9374","1","0","2","0","45",14,0,1,0
"9375","1","1","1","1","0",14,1,1,1
"9376","0","1","0","1","90",8,1,1,1
"9377","0","1","0","1","0",5,1,1,1
"9378","0","1","0","2","135",14,1,0,0
"9379","1","2","1","2","45",3,1,1,1
"9380","1","1","0","1","0",17,0,1,0
"9381","1","1","1","1","90",3,1,1,1
"9382","0","0","1","0","0",17,0,1,0
"9383","2","1","2","0","135",11,1,0,0
"9384","0","0","1","0","45",20,0,1,0
"9385","1","0","2","0","90",17,0,1,0
"9386","0","0","1","0","0",3,0,1,0
"9387","1","0","1","0","0",11,1,1,1
"9388","0","0","1","0","45",14,0,1,0
"9389","0","1","0","1","135",3,1,1,1
